2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Height,MP,ORB,PF,PTS,Pick,Player,SOS,STL,School,TOV,TRB,Weight,Year
5.2,0.525,9.8,1.1,0.338,3.3,3.2,0.9,6.1,6.3,0.478,13.2,3.5,0.729,4.8,39,39,183,33,1.7,1.9,17.2,1,Paolo Banchero,7.26,1.1,Duke,2.4,7.8,250,2022
4,0.737,5.5,1.3,0.39,3.3,1.9,3.7,8.1,5.3,0.607,8.8,2.2,0.717,3.1,32,31,210,26.9,1.8,2.7,14.1,2,Chet Holmgren,4.5,0.8,Gonzaga,1.9,9.9,195,2022
3.1,0.435,7,2.3,0.42,5.5,2,1,6.5,5.4,0.429,12.6,3.9,0.799,4.8,34,34,183,28.8,0.9,2.1,16.9,3,Jabari Smith Jr.,8.17,1.1,Auburn,1.9,7.4,220,2022
4.7,0.618,7.6,1.2,0.373,3.3,1,1.6,4.7,5.9,0.543,10.9,2.8,0.749,3.7,66,39,204,25.4,2.3,1.9,15.8,4,Keegan Murray,8.65,1.1,Iowa,0.9,7,215,2022
3.4,0.523,6.6,1.5,0.322,4.7,2.6,0.6,3.5,4.9,0.44,11.3,3.5,0.739,4.7,59,46,192,28.6,0.7,1.7,14.9,5,Jaden Ivey,9.73,0.8,Purdue,2.1,4.3,200,2022
2.9,0.521,5.6,1.9,0.383,5,2,0.2,4,4.9,0.456,10.7,3.2,0.789,4.1,63,49,201,29.4,1.3,1.8,14.8,6,Bennedict Mathurin,7.51,0.9,Arizona,1.5,5.3,195,2022
2.5,0.585,4.3,0.8,0.296,2.7,1.8,0.7,4.4,3.3,0.474,7,1.8,0.589,3,30,1,207,25.1,2,2.3,9.2,9,Jeremy Sochan,8.76,1.3,Baylor,1.6,6.4,230,2022
4,0.462,8.5,0.8,0.325,2.5,1.6,0.7,5,4.8,0.431,11.1,3,0.779,3.9,62,31,195,29.2,1.2,2.1,13.4,10,Johnny Davis,10.54,1.1,Wisconsin,1.7,6.2,196,2022
3.4,0.525,6.5,1.1,0.352,3,2.9,0.5,3.2,4.5,0.469,9.5,2.6,0.785,3.3,84,72,198,30.5,0.5,2.6,12.6,12,Jalen Williams,2.14,1.2,Santa Clara,1.6,3.7,190,2022
4.9,0.6,8.1,0,0,0,1.3,2.1,5.2,4.9,0.597,8.1,2.2,0.625,3.6,29,29,183.3,25.3,3,2.7,12,13,Jalen Duren,7.86,0.8,Memphis,2.2,8.1,250,2022
2.8,0.526,5.3,2,0.373,5.5,1.6,0.5,3.4,4.8,0.448,10.8,1.8,0.714,2.5,122,116,195,32.6,1,1.8,13.5,14,Ochai Agbaji,11.49,1,Kansas,1.7,4.4,210,2022
4.2,0.706,6,0,0,0,0.8,2.3,4,4.2,0.704,6,1.3,0.661,1.9,62,54,210,20.5,2.3,1.8,9.7,15,Mark Williams,7.8,0.5,Duke,0.9,6.3,243,2022
1.9,0.547,3.5,1.8,0.447,4.1,1,0.6,3.2,3.7,0.493,7.6,1.1,0.792,1.4,39,25,198,24,0.8,1.1,10.4,16,AJ Griffin,7.26,0.5,Duke,0.6,3.9,222,2022
4.9,0.564,8.7,0.8,0.359,2.4,1,1.1,4.3,5.8,0.521,11.1,4.6,0.803,5.7,33,4,204,24.4,2.3,2.8,16.9,17,Tari Eason,,1.9,LSU,2.2,6.6,215,2022
1.8,0.552,3.2,0.7,0.35,1.9,2.9,0.3,3.2,2.4,0.477,5.1,1,0.68,1.5,63,51,201,24.9,1,2.3,6.6,18,Dalen Terry,7.51,1,Arizona,1.3,4.2,195,2022
4.2,0.616,6.8,0.8,0.384,2.2,3.7,1,4.5,5,0.559,9,3.7,0.777,4.8,33,33,207,34.2,2.1,2.8,14.6,19,Jake LaRavia,,1.7,Wake Forest,2.7,6.6,228,2022
3.8,0.53,7.3,1.2,0.416,2.8,2,0.3,2.8,5,0.498,10,2.5,0.833,3,32,31,195,29.6,0.8,1.8,13.7,20,Malaki Branham,9.08,0.7,Ohio State,1.7,3.6,180,2022
2.2,0.508,4.3,1.3,0.378,3.5,1.8,0.5,3.9,3.5,0.449,7.8,1.7,0.749,2.3,101,74,198,28.5,1.1,1.6,10.1,21,Christian Braun,11.06,1,Kansas,1.3,5,205,2022
