2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Height,Label,MP,ORB,PF,PTS,Pick,Player,SOS,STL,School,TOV,TRB,Weight,Year
5.3,0.58,9.1,0.1,0.291,0.4,2.3,2.2,0,5.4,0.568,9.5,4.1,0.684,6,143,139,183,Star,32.8,0,3,15,1,Derrick Coleman,8.71,1.3,Syracuse,2.3,10.7,230,1990
5.4,0.53,10.2,1.5,0.369,4,7.8,0.5,0,6.9,0.485,14.3,2.8,0.684,4.1,120,89,192,Star,37.7,0,3.5,18.1,2,Gary Payton,6.72,2.7,Oregon State,3.3,4,180,1990
7.7,0.524,14.7,2.7,0.372,7.2,3.6,0.1,0,10.4,0.474,21.9,5.5,0.863,6.4,64,0,183,Starter,37.2,0,2.1,29,3,Mahmoud Abdul-Rauf,7.04,1.7,LSU,3.6,3,162,1990
4,0.483,8.2,3.5,0.422,8.4,2.9,0.5,0,7.5,0.452,16.6,2.8,0.777,3.6,99,98,204,Starter,37.2,0,2.1,21.4,4,Dennis Scott,8.65,1.5,Georgia Tech,2.3,5.3,229,1990
3.8,0.535,7,0.7,0.374,1.9,3,0.3,0,4.5,0.501,8.9,2.4,0.755,3.2,117,70,195,Starter,25.4,0,1.7,12,5,Kendall Gill,10.18,1.9,Illinois,1.8,2.8,195,1990
3.1,0.628,4.9,0,0,0,0.7,1,0,3.1,0.628,4.9,2.6,0.676,3.9,134,40,210,Role,18.4,0,2.9,8.7,6,Felton Spencer,8.33,0.4,Louisville,1.5,5.2,265,1990
9.1,0.506,17.9,0.4,0.415,1,2.7,1.9,7.4,9.5,0.501,18.9,5.1,0.722,7.1,131,131,201,Starter,38.5,3.5,2.2,24.6,7,Lionel Simmons,-0.92,1.8,La Salle,2.9,10.9,210,1990
0,0.528,0,0,0.407,0,1.5,0.4,0,9.7,0.488,19.8,4.5,0.833,5.4,76,59,192,Role,28.4,0,2.9,26.4,8,Bo Kimble,0,2.3,Loyola Marymount,1.8,5.3,190,1990
4.8,0.538,8.9,0.7,0.378,1.8,1.7,0.7,0,5.5,0.511,10.7,3.6,0.749,4.8,118,99,204,Role,28.4,0,3,15.3,9,Willie Burton,8.83,0.9,Minnesota,2.4,6,210,1990
4.3,0.56,7.7,0.9,0.411,2.1,5.8,0.3,0,5.2,0.528,9.8,3.3,0.666,5,100,98,186,Role,29.9,0,2.9,14.5,10,Rumeal Robinson,10.44,1.5,Michigan,3.3,3.2,195,1990
6,0.58,10.3,0,0,0,1,0.5,0,6,0.579,10.3,4,0.692,5.7,126,92,207,Starter,30.9,0,3.3,15.9,11,Tyrone Hill,0.5,0.8,Xavier,2.7,10.9,240,1990
4.9,0.502,9.7,0.1,0.417,0.3,0.9,0.4,0,5,0.499,10,4.5,0.763,5.9,123,0,183.3,Role,28.1,0,2.7,14.5,12,Alec Kessler,6.91,0.6,Georgia,2.2,7.3,230,1990
4.6,0.619,7.4,0,0.333,0,0.7,0.6,0,4.6,0.617,7.5,1.6,0.752,2.1,134,73,207,Role,22,0,2.7,10.8,13,Loy Vaught,10.01,0.5,Michigan,1.3,7.4,230,1990
4.1,0.488,8.5,2,0.37,5.4,2.3,0.2,0,6.1,0.442,13.8,4.2,0.746,5.6,124,26,186,Starter,35,0,2.9,18.4,14,Travis Mays,3.63,1.3,Texas,3,4.8,190,1990
0,0.503,0,0,0.419,0,2.4,0.1,0,7.5,0.488,15.4,3.2,0.846,3.8,115,33,195,Non-NBA,32.4,0,2.3,20.3,15,Dave Jamerson,-0.79,1.1,Ohio,2.1,4.5,190,1990
5.9,0.564,10.4,0,0,0,2.2,1.1,0,5.9,0.562,10.4,2,0.755,2.7,102,101,183,Role,27.9,0,2.6,13.8,16,Terry Mills,10.44,0.8,Michigan,2.1,6.7,230,1990
6.4,0.532,12.1,0.2,0.389,0.6,1.5,0.8,0,6.7,0.525,12.7,3.1,0.756,4,59,58,183,Role,32.1,0,2.2,16.6,17,Jerrod Mustaf,7.74,0.6,Maryland,2.8,7.7,238,1990
2.8,0.505,5.5,0,0,0,0.4,2.7,0,2.8,0.504,5.5,1.7,0.624,2.7,75,30,210,Role,25.3,0,2.7,7.2,18,Duane Causwell,3,0.6,Temple,0.9,6,240,1990
4.6,0.51,9.1,0.8,0.366,2.2,3.1,0.3,0,5.4,0.482,11.3,2.3,0.763,3,108,29,183,Starter,29,0,2.2,13.9,19,Dee Brown,1.43,1.9,Jacksonville,2.3,5.3,160,1990
8.7,0.544,16,1.5,0.377,3.9,3,1,0,10.2,0.511,19.9,4.3,0.736,5.8,60,60,195,Role,36.3,0,3.3,26.1,20,Gerald Glass,6.24,2.7,Ole Miss,3,8.1,221,1990
5.7,0.551,10.3,0,0.25,0.1,0.5,0.8,0,5.7,0.55,10.3,3.5,0.652,5.4,72,13,207,Role,28.8,0,3.3,14.9,21,Jayson Williams,8.18,0.4,St. John's (NY),2.2,6.8,240,1990
3.2,0.465,6.8,0.3,0.322,0.9,5.3,0.2,0,3.5,0.448,7.7,2.5,0.773,3.3,128,62,195,Role,31.5,0,2.5,9.7,22,Tate George,6.26,1.6,UConn,2.3,3.3,190,1990
5.8,0.541,10.7,0,0.333,0.1,2,0.5,0,5.8,0.539,10.8,3.2,0.634,5,133,98,204,Role,32.8,0,2.5,14.8,23,Anthony Bonner,0.52,1.4,Saint Louis,2.4,10.7,215,1990
